,var_score_q,mse_q,mae_q,mape_q,var_score_h,mse_h,mae_h,mape_h
0,-3.1018987358694448,10244353.692357494,2839.110621425622,101.73747444771392,-5.052579850240546,128564.91011756808,330.99767601396104,100.99856034704257
1,-3.071104245516361,10220717.40892688,2831.3423834822183,101.97227516779506,-4.9927131207011115,128119.70971901459,330.0848680472438,101.16463858437443
2,-3.054527989326778,10232733.85040917,2828.3182332539664,102.34679149059254,-4.950706256485611,128010.92779843105,329.5981733024216,101.43006058857209
3,-3.049696038129083,10267632.358602831,2827.8306022752854,102.81375311990114,-4.92410887611971,128115.2545241076,329.3513680600627,101.76370629310607
4,-3.04578427525239,10298859.954412453,2827.1942749548016,103.36237537840289,-4.898680648567734,128193.98895484311,329.09384596474865,102.15494404539602
5,-3.045551414288684,10333334.262600105,2827.289924901159,103.96975180157209,-4.879107063023316,128327.89987071742,328.91920385268156,102.59256562013186
6,-3.054717493135711,10382118.198712815,2829.4762371141883,104.67572595245684,-4.872894877694695,128604.61596645524,328.9372123888345,103.09682096373827
