date,Q,H
01/1/2008,-479.5681190868774,-3.301955594022016
02/1/2008,-441.11004384147066,-8.426018310422952
03/1/2008,-347.5675818700763,-11.420019486123694
04/1/2008,-234.71113162051296,-13.30804567601832
05/1/2008,-119.02354676844416,-14.839375211245642
06/1/2008,-26.222007620125602,-15.48267079921887
07/1/2008,17.140868423696773,-15.011774918369518
08/1/2008,20.810419373720492,-13.573329277037441
09/1/2008,-21.74029683442177,-11.6078074125185
10/1/2008,-101.5455315133446,-9.408019722677373
11/1/2008,-201.00446299286367,-7.612127372600371
12/1/2008,-294.959424844321,-6.552673846682013
13/1/2008,-362.69715256268205,-6.631979878576875
14/1/2008,-386.6065463373626,-7.902654142960009
15/1/2008,-351.42053278397475,-9.83883302860545
16/1/2008,-259.8696578628662,-11.754432661177285
17/1/2008,-121.50903647537169,-12.532667363089695
18/1/2008,47.60571931978412,-11.366865364687303
19/1/2008,219.47335995220055,-8.07819544701976
20/1/2008,363.9770761259899,-2.9340936082741162
21/1/2008,458.15074367890736,3.302349234201874
22/1/2008,488.10388202476804,9.929516471120232
23/1/2008,453.19264037784717,16.349573287733143
24/1/2008,359.60519379495804,22.153031344210106
25/1/2008,226.30826742065028,26.793039091078708
26/1/2008,77.88534254341992,29.608539895980606
27/1/2008,-63.851034971947286,30.39694557313842
28/1/2008,-173.1637925209207,29.143509882175724
29/1/2008,-219.2403876750166,26.02195235050767
30/1/2008,-181.72714848171373,21.723962641712816
31/1/2008,-66.15124165389777,16.791191979246097
1/2/2008,99.15412952944757,11.838827089973721
2/2/2008,274.68861971821616,6.555155125381883
3/2/2008,416.98308928361513,0.5996076208998897
4/2/2008,489.3183079669542,-6.087637982477563
5/2/2008,465.6511730645584,-13.340390325429297
6/2/2008,354.2029863046022,-19.914038921582577
7/2/2008,179.8423746902426,-24.912378525005032
8/2/2008,-28.632216978026097,-27.47079456613558
9/2/2008,-239.21612804255153,-27.489430890515163
10/2/2008,-418.8635726321696,-26.181877788850482
11/2/2008,-540.5820235857166,-22.794308387154487
12/2/2008,-588.3175454776903,-16.86961934425398
13/2/2008,-564.7965994993328,-8.218339671188994
14/2/2008,-489.64180331703903,2.226317674466585
15/2/2008,-387.9629589223934,11.759297368805822
16/2/2008,-282.87854295515024,18.653068871778217
17/2/2008,-192.58481167802188,21.385753339909346
18/2/2008,-124.40590793298298,19.375050066220854
19/2/2008,-75.18775267196217,13.755747258615102
20/2/2008,-46.26472161464787,6.605372971643941
21/2/2008,-38.68251011086971,0.13626265315616148
22/2/2008,-44.77150130160224,-3.6065637907573684
23/2/2008,-47.98789584535365,-4.699687412961265
24/2/2008,-32.351480589886876,-3.1292127525015436
25/2/2008,13.616809305824034,0.7101476669847857
26/2/2008,98.12605171855475,5.878536163893386
27/2/2008,211.3037611202441,10.894061048817614
28/2/2008,328.90641307322693,14.3873442826563
29/2/2008,418.85439379953925,15.076154906681756
1/3/2008,463.6410647241015,9.142278698690685
2/3/2008,465.0538832351334,-0.4181271433305014
3/3/2008,426.39264425883016,-12.223994626268887
4/3/2008,344.3423456314446,-24.415350324724944
5/3/2008,219.44223729499717,-35.25321422877084
6/3/2008,60.8171352936226,-43.32213402358777
7/3/2008,-106.67190195256038,-46.57667910494368
8/3/2008,-254.49472462318317,-43.750159528534354
9/3/2008,-358.9809918300715,-35.19077356650226
10/3/2008,-400.8208025441976,-22.065429358723396
11/3/2008,-373.04511828583344,-6.05648167646698
12/3/2008,-289.565228962833,10.542174807823722
13/3/2008,-173.65519608438063,24.744791221896374
14/3/2008,-48.15846029038515,32.05127931633686
15/3/2008,67.02946790022236,30.646546292226862
16/3/2008,154.97582161170627,20.893777134635712
17/3/2008,203.26578454931735,4.174482782758748
18/3/2008,210.13688288677406,-16.309534976006834
19/3/2008,185.65027673728807,-35.49861907874805
20/3/2008,145.07451687186597,-48.74763678035034
21/3/2008,99.73927017798225,-53.27102441738377
22/3/2008,58.15788150947179,-46.258698838406275
23/3/2008,24.68615453797787,-28.353722983974173
24/3/2008,-2.028902719474168,-2.3707989977807484
25/3/2008,-26.258591360550085,27.04261510121118
26/3/2008,-55.21779506950836,54.6234782430046
27/3/2008,-94.18886521952903,75.87307267041885
28/3/2008,-142.51260781611427,87.12436725142294
29/3/2008,-190.5809383029893,86.20985600865171
30/3/2008,-225.29289478389765,73.17486514702975
31/3/2008,-235.99560448424032,51.36563441153532
1/4/2008,-213.0492893946772,25.289719083118097
2/4/2008,-159.76547559678903,0.09558375635343808
3/4/2008,-85.01642919208999,-20.09716997286688
4/4/2008,-0.5355081777221606,-32.029924830530895
5/4/2008,76.51613657525213,-34.25692713501481
6/4/2008,130.5136842236126,-28.501100248987882
7/4/2008,154.7917012531661,-17.845466810407064
8/4/2008,154.54058295657757,-5.803624713788041
9/4/2008,133.19714948020805,4.0163010553274034
10/4/2008,92.73641890667436,8.852176862548326
11/4/2008,40.69830041771628,7.4091890090498165
12/4/2008,-11.847321999023976,0.6857602359500063
13/4/2008,-51.789686587128074,-8.91054433392274
14/4/2008,-72.18281600863016,-18.541612201736626
15/4/2008,-69.95602994359487,-25.316664084488174
16/4/2008,-60.73309678802942,-27.370098545112498
17/4/2008,-56.540245767581965,-24.717398611960192
18/4/2008,-60.101255336686414,-19.175512284570953
19/4/2008,-69.75791672830385,-12.048785988319482
20/4/2008,-81.575599056193,-4.728755258758612
21/4/2008,-86.10767157317542,0.854218409802848
22/4/2008,-75.85502122101673,3.7769665441456715
23/4/2008,-59.262334796267275,4.002966232186773
24/4/2008,-47.8040562578256,3.026124659232941
